Variety,Treatment,Rep, Grain yield,Straw yield,%ca (grain),%Mg(grain),%K (grain),%S (grain),%P(grain)
V1,T0,1,26.45,31.33,0.16,0.33,0.53,0.27,0.39
V1,T0,2,25.78,28.9,0.13,0.29,0.51,0.25,0.41
V1,T0,3,29.23,33.79,0.13,0.29,0.61,0.26,0.37
V1,T1,1,41.87,54.21,0.21,0.33,0.67,0.27,0.41
V1,T1,2,45.33,56.33,0.24,0.31,0.61,0.30,0.43
V1,T1,3,39.92,57.82,0.19,0.29,0.55,0.29,0.40
V1,T2,1,42.78,61.29,0.19,0.33,0.51,0.31,0.46
V1,T2,2,46.35,63.33,0.21,0.33,0.61,0.33,0.45
V1,T2,3,40.9,66.43,0.26,0.31,0.55,0.34,0.48
V1,T3,1,58.98,70.77,0.21,0.31,0.75,0.35,0.48
V1,T3,2,65.91,76.19,0.19,0.31,0.69,0.37,0.50
V1,T3,3,62.65,73.2,0.16,0.32,0.63,0.38,0.47
V1,T4,1,80.64,100.48,0.26,0.36,0.85,0.53,0.50
V1,T4,2,85.99,96.23,0.29,0.32,0.77,0.57,0.51
V1,T4,3,90.52,94.7,0.26,0.35,0.69,0.60,0.52
V1,T5,1,84.98,90.32,0.26,0.33,0.77,0.57,0.50
V1,T5,2,89.32,94.23,0.26,0.32,0.69,0.45,0.52
V1,T5,3,80.67,97.89,0.24,0.31,0.63,0.52,0.52
V1,T6,1,79.77,84.98,0.24,0.31,0.55,0.49,0.49
V1,T6,2,76.89,81.26,0.24,0.33,0.65,0.47,0.50
V1,T6,3,71.21,77.08,0.26,0.31,0.57,0.51,0.48
V2,T0,1,24.67,28.33,0.21,0.33,0.51,0.27,0.45
V2,T0,2,23.79,25.59,0.13,0.31,0.57,0.32,0.47
V2,T0,3,27.07,28.1,0.13,0.29,0.53,0.28,0.43
V2,T1,1,38.09,42.33,0.21,0.31,0.65,0.28,0.50
V2,T1,2,40.15,49.34,0.24,0.33,0.53,0.33,0.52
V2,T1,3,36.33,45.38,0.19,0.33,0.59,0.36,0.49
V2,T2,1,39.01,49.17,0.19,0.33,0.69,0.40,0.50
V2,T2,2,42.15,44.03,0.21,0.33,0.59,0.41,0.52
V2,T2,3,36.4,51.28,0.26,0.31,0.61,0.45,0.48
V2,T3,1,73.89,81.06,0.21,0.32,0.73,0.49,0.52
V2,T3,2,69.85,77.03,0.19,0.33,0.77,0.53,0.54
V2,T3,3,77.89,85.18,0.18,0.32,0.69,0.49,0.51
V2,T4,1,106.37,117.13,0.26,0.36,0.85,0.53,0.58
V2,T4,2,98.87,118.19,0.30,0.37,0.73,0.57,0.60
V2,T4,3,96.2,123.61,0.26,0.35,0.79,0.55,0.57
V2,T5,1,89.11,91.67,0.26,0.35,0.67,0.45,0.53
V2,T5,2,94.59,95.5,0.29,0.37,0.81,0.50,0.54
V2,T5,3,84.07,97.83,0.24,0.33,0.71,0.52,0.52
V2,T6,1,75.45,85.8,0.24,0.32,0.63,0.45,0.52
V2,T6,2,79.63,89.01,0.26,0.34,0.61,0.49,0.54
V2,T6,3,71.24,82.58,0.26,0.32,0.73,0.50,0.51
