ENV,GEN,REP,DF,DM,PH,PPP,SPP,PL,HSW,GY
E1,E1,1,45,65,40.7,16,9.4,7.8,4.24,6.38
E1,E1,2,43,69,40.7,15,8.6,7.32,4.23,6.63
E1,E1,3,45,65,44.5,18,9.2,7.46,4.28,7.09
E1,E10,1,43,73,42.1,25,9,6.04,2.33,5.24
E1,E10,2,42,68,39.5,23,8.8,5.86,2.32,4.87
E1,E10,3,45,70,39.1,21,9.6,5.98,2.58,5.2
E1,E11,1,40,68,40.7,29,9.2,5.48,4.42,11.79
E1,E11,2,43,66,41.1,26,8.8,5.76,4.67,10.69
E1,E11,3,42,68,37.7,27,9.4,6.17,4.5,11.42
E1,E12,1,43,65,41.1,15,8.6,8.36,4.52,5.83
E1,E12,2,45,66,42.7,13,8.4,7.1,4.64,5.07
E1,E12,3,39,65,40.1,11,8.4,7.4,4.42,5.3
E1,E13,1,42,66,42.3,30,10,7.6,2.5,9.13
E1,E13,2,45,68,43.3,36,10.8,8.14,2.74,10.65
E1,E13,3,45,65,41.9,33,10.8,8.08,2.82,10.05
E1,E14,1,40,68,38.9,39,10.4,6,1.94,7.87
E1,E14,2,42,68,37.5,40,10.6,6.32,1.67,7.66
E1,E14,3,40,69,40.3,36,10.8,6.16,1.88,7.31
E1,E15,1,44,80,44.7,35,10.6,6.52,2.8,4.56
E1,E15,2,43,76,45.7,32,11.4,6.16,3.22,4.76
E1,E15,3,38,75,46.5,39,10.6,6.04,3.27,4.98
E2,E1,1,42,73,55.67,8,12,8.7,4.4,4.67
E2,E1,2,41,76,60.98,10.4,11.4,7.82,4.84,6.06
E2,E1,3,46,78,52.49,8.4,11.2,7.6,4.56,4.57
E2,E10,1,38,66,63.26,22,10,6.56,2.24,5.38
E2,E10,2,41,74,69.75,18.8,10.6,6.14,2.52,5.34
E2,E10,3,45,72,67.65,19.8,10.8,6.64,2.63,5.9
E2,E11,1,40,74,59.77,15.6,11.2,8.08,5.5,10.06
E2,E11,2,41,70,60.75,13,10.6,8.24,5.38,7.73
E2,E11,3,44,74,65.15,11.8,10.4,7.64,5.16,6.61
E2,E12,1,41,75,58.57,7.2,10,8.84,4.94,4.01
E2,E12,2,43,73,54.75,7.6,11,9.7,4.78,4.32
E2,E12,3,38,76,63.8,5,9.6,8.1,4.58,2.48
E2,E13,1,39,73,62.66,8,10.6,9.46,4.82,4.54
E2,E13,2,46,74,65.95,6,10.4,9.06,4.04,2.84
E2,E13,3,44,78,60.85,6.2,10.6,9.4,4.43,3.19
E2,E14,1,44,69,62.97,9.2,11.8,6.6,2.52,3.19
E2,E14,2,41,68,61.75,8.8,10.8,6.46,2.32,2.53
E2,E14,3,40,72,66.25,10.2,11.4,6.94,2.17,2.8
E2,E15,1,46,67,62.57,18.6,11.4,6.88,2.29,5.31
E2,E15,2,42,68,57.35,22.8,11,6.2,2.34,6.19
E2,E15,3,38,71,58.25,20.6,10.6,6.73,2.39,5.5
E3,E1,1,38,70,62.4,13.8,12,10.26,4.61,7.63
E3,E1,2,37,73,64,11.6,9.8,9.46,4.74,5.39
E3,E1,3,37,69,67.6,12.48,11.4,10.42,4.7,6.69
E3,E10,1,38,65,64.8,13.2,11.6,7.86,2.15,3.3
E3,E10,2,38,68,62.6,14.2,12.4,8.04,2.34,4.13
E3,E10,3,38.5,66,63,12.96,11,7.26,2.18,3.11
E3,E11,1,39,71,68,12,10.5,9.77,5,6.3
E3,E11,2,40,72,66,11,10.2,9.88,5.14,5.77
E3,E11,3,38,73,65.6,13.6,10.8,9.64,5.08,7.46
E3,E12,1,39,75,60,13,10.8,10.8,4.93,6.92
E3,E12,2,40,73,59.6,11.8,11.8,11.56,5.08,7.07
E3,E12,3,39,74,61.8,12,11,11.2,4.9,6.47
E3,E13,1,40,76,69.6,13,10.6,11,2.68,3.69
E3,E13,2,38,74,67.4,11,12.2,10.16,2.72,3.65
E3,E13,3,38.5,75,66,13.92,12.8,11.02,2.86,5.1
E3,E14,1,38,68,54.6,13.6,12.4,8.26,2.2,3.71
E3,E14,2,39,65,57.6,11,11.6,7.84,2.46,3.14
E3,E14,3,38,68,55.2,10.92,12.6,8.32,2.16,2.97
E3,E15,1,39,69,62,13.6,12.6,7.9,3.2,5.48
E3,E15,2,38,70,65,11,12.8,8.26,3.18,4.48
E3,E15,3,39,68,62.6,12.4,13.4,7.96,3.25,5.4
E4,E1,1,45,70,40.7,11.2,9,7.68,4.3,4.33
E4,E1,2,42,67,42,12.6,8,8.55,4.2,4.23
E4,E1,3,48,68,42.4,11.8,10.2,8.36,4.38,5.27
E4,E10,1,43,67,39.8,12,9.6,6.98,2.44,2.81
E4,E10,2,42,65,40.2,13,11.4,7.2,2.24,3.32
E4,E10,3,47,68,38.2,11.2,10.2,6.58,2.54,2.9
E4,E11,1,40,66,39.1,9,10.4,9.26,4.48,4.19
E4,E11,2,36,63,37.67,8,8,8.98,4.5,2.88
E4,E11,3,37,66,40.2,9.8,11.6,8.42,4.6,5.23
E4,E12,1,37,68,37.7,10,12.8,9.76,4.58,5.86
E4,E12,2,42,64,41.1,11.6,9,9.1,4.56,4.76
E4,E12,3,37,66,44.2,10.6,11.2,9.54,4.52,5.37
E4,E13,1,40,64,37.6,20.4,12.6,7.54,2.56,6.58
E4,E13,2,37,65,40.7,21,10,6.56,2.66,5.59
E4,E13,3,38,62,36.8,19.8,13,7.12,2.92,7.52
E4,E14,1,35,60,32,18.8,11.6,6.9,2,4.36
E4,E14,2,35,62,32.5,17.6,11.4,6.58,2.22,4.45
E4,E14,3,35,59,33.4,17.2,12.8,6.45,1.98,4.36
E4,E15,1,45,73,32.5,8.8,12.8,6.32,2.8,3.15
E4,E15,2,45,70,31.5,8.6,10,6.76,3.5,3.01
E4,E15,3,47,69,34.7,9,11.4,6.42,3.3,3.39
E5,E1,1,42,66,37.8,10,11,6.36,4.33,5.86
E5,E1,2,48,68,34.4,9.2,9.6,7.72,4.52,4.63
E5,E1,3,47,69,38.6,11.2,9,7.38,4.76,5.71
E5,E10,1,42,69,40.5,9.6,11,6.1,2.97,3.85
E5,E10,2,49,67,35.5,11.9,12.4,4.58,2.86,4.9
E5,E10,3,44,70,42,10.8,10.6,6.74,3.17,4.32
E5,E11,1,44,70,45,10.6,10,6.62,5.37,7
E5,E11,2,45,69,43.4,8.8,8,7.1,5.14,4.2
E5,E11,3,47,71,39.6,9.6,9.4,6.9,5.6,6.01
E5,E12,1,47,67,35.4,6.2,13,6.97,4.74,4.7
E5,E12,2,51,73,36.2,7,12,6.84,5.46,5.32
E5,E12,3,47,72,32.25,6.6,10.4,6.26,4.02,3.28
E5,E13,1,44,71,33.2,19.4,10.6,6.84,4.13,10.43
E5,E13,2,43,69,33.6,21.1,9.4,6.52,3.38,11
E5,E13,3,45,69,37.8,20.8,12.4,7.66,4.87,13
